USEFUL_GENES
ABL1
AKT1
AKT2
AKT3
ALK
AMER1
APC
AR
ARAF
ARID1A
ARID1B
ARID2
ARID5B
ASXL1
ATM
ATR
ATRX
AURKA
AURKB
AXIN1
AXIN2
AXL
BAP1
BARD1
BCL2
BCL2L1
BCL6
BCOR
BLM
BRAF
BRCA1
BRCA2
BRD4
BRIP1
BTK
CALR
CARD11
CBFB
CBL
CCND1
CCND2
CCND3
CCNE1
CD274
CD79A
CD79B
CDC73
CDH1
CDK12
CDK4
CDK6
CDK8
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
CEBPA
CHEK1
CHEK2
CIC
CREBBP
CRKL
CSF1R
CSF3R
CTCF
CTNNB1
CXCR4
DDR2
DICER1
DIS3
DNMT3A
DOT1L
EGFR
EP300
EPCAM
EPHA7
EPHB1
ERBB2
ERBB3
ERBB4
ERCC2
ERG
ERRFI1
ESR1
ETV6
EZH2
FAM46C
FANCA
FANCC
FAT1
FBXW7
FGF3
FGF4
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLT1
FLT3
FLT4
FOXA1
FOXL2
FOXO1
FOXP1
FUBP1
GATA1
GATA2
GATA3
GLI1
GNA11
GNAQ
GNAS
GRIN2A
H3F3A
HGF
HIST1H3B
HNF1A
HOXB13
HRAS
IDH1
IDH2
IKBKE
IKZF1
IL7R
INPP4B
IRF4
IRS2
JAK1
JAK2
JAK3
KDM5A
KDM5C
KDM6A
KDR
KEAP1
KIT
KMT2A
KMT2D
KRAS
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAPK1
MCL1
MDM2
MDM4
MED12
MEF2B
MEN1
MET
MITF
MLH1
MPL
MRE11A
MSH6
MTOR
MUTYH
MYC
MYCL
MYCN
MYD88
NBN
NCOR1
NF1
NF2
NFE2L2
NFKBIA
NKX2-1
NOTCH1
NOTCH3
NPM1
NRAS
NSD1
NTRK1
NTRK2
NTRK3
PAK1
PALB2
PARK2
PAX5
PBRM1
PDGFRA
PDGFRB
PHOX2B
PIK3CA
PIK3CG
PIK3R1
PIK3R2
PMS1
POLD1
POLE
PPP2R1A
PPP6C
PRDM1
PRKAR1A
PTCH1
PTEN
PTPN11
PTPRD
RAC1
RAD21
RAD50
RAD51
RAD51C
RAD51D
RAF1
RARA
RASA1
RB1
RBM10
RET
RHOA
RICTOR
RIT1
RNF43
ROS1
RPTOR
RUNX1
SDHB
SDHD
SETD2
SF3B1
SH2B3
SMAD2
SMAD3
SMAD4
SMARCA4
SMARCB1
SMO
SOCS1
SOX2
SOX9
SPEN
SPOP
SRC
SRSF2
STAG2
STAT3
STK11
SUFU
SYK
TBX3
TCF7L2
TERT
TET2
TGFBR2
TMPRSS2
TNFAIP3
TNFRSF14
TOP1
TP53
TSC1
TSC2
TSHR
U2AF1
VEGFA
VHL
WT1
XPO1
ZFHX3
ZRSR2
